교통량,평균속도,0010CZS430
265,107.01,
4987,91.21,
263,104.39,
4763,96.9,
235,106.18,
5037,87.02,
277,104.58,
5055,84.07,
325,104.99,
4961,83.64,
377,102.19,
5199,83.88,
347,103.77,
5062,85.54,
350,104.04,
4727,83.41,
330,103.02,
4683,84.75,
354,102.91,
4810,85.07,
325,103.76,
5441,93.95,
4584,98.68,
2831,107.08,
1692,109.24,
1044,106.81,
764,105.56,
954,105.24,
2039,109.41,
4952,97.74,
6666,86.49,
5550,87.05,
565,103.26,
5098,92.3,
429,104.64,
5015,90.73,
321,104.35,
5048,87.94,
267,104.81,
4891,88.55,
258,106.31,
4640,91.48,
228,104.63,
4767,92.22,
223,105.29,
4736,90.13,
277,104.68,
4731,89.88,
212,105.77,
4709,92.03,
238,104.89,
4454,87.28,
221,105.41,
4378,77.71,
252,104.09,
3877,84.85,
256,103.82,
3498,90.07,
199,104.67,
3114,98.71,
2390,101.76,
1809,102.92,
1315,102.63,
966,102.53,
765,100.37,
737,98.66,
1191,102.02,
2939,101.12,
5506,91.64,
5639,85.73,
472,103.61,
5213,91.43,
336,104.3,
4727,93.39,
300,105.03,
5073,88.15,
279,104.61,
4887,89.01,
291,104.86,
4682,90.33,
246,105.17,
4619,90.78,
242,106.51,
4423,91.12,
211,104.75,
4703,89.68,
231,105.14,
4686,89.46,
263,105.02,
4599,88.46,
243,106.12,
4420,82.71,
250,104.47,
3908,84.33,
251,103.85,
3519,88.83,
194,103.89,
3250,97.11,
2450,99.88,
1899,103.75,
1356,102.9,
1024,103.36,
833,101.91,
756,100.48,
1155,101.82,
2917,100.81,
5264,93.12,
5515,87.47,
459,102.01,
5249,90.88,
357,104.29,
5137,89.77,
311,103.17,
5051,87.65,
276,104.71,
4945,88.65,
248,104.83,
4916,90.05,
266,104.48,
4900,88.54,
252,104.9,
4624,91.15,
232,105.64,
4638,90.37,
256,103.33,
4661,90.69,
242,106.59,
4549,90.06,
217,108.02,
4298,83.11,
228,105.68,
3962,78.05,
262,104.02,
3455,89.39,
213,102.75,
3293,98,
2726,100.2,
2205,104.19,
1497,103.36,
1111,101.75,
774,101.77,
790,100.3,
1119,101.42,
3026,101.02,
5377,92.41,
5521,85.57,
513,102.78,
5083,92.93,
367,103.78,
5204,88,
309,102.17,
5094,86.79,
341,103.52,
4877,87.88,
287,105.48,
4904,87.63,
255,104.25,
4983,90.63,
258,103.86,
4852,90.07,
263,105.78,
4744,90.19,
220,104.98,
4642,90.57,
232,105.55,
4622,88.65,
245,108.68,
4500,75.65,
252,103.73,
4107,79.39,
268,105.06,
3550,90.82,
213,103.53,
3347,97.15,
2750,100.62,
2280,103.27,
1535,103.89,
1058,102.18,
846,101.42,
763,100.6,
1230,100.62,
3056,101.74,
5461,92.47,
5408,87.8,
510,102.54,
5150,92.06,
348,105.65,
5095,89.5,
324,103.62,
3790,31.88,
350,88.12,
4796,56.12,
302,98.49,
4472,29.33,
308,89.73,
4700,55.88,
313,100.09,
4808,80.42,
303,102.75,
4897,61.03,
320,99.11,
4940,89.16,
318,106.09,
4948,84.65,
330,105.56,
4974,77.7,
302,103.58,
4782,73.4,
416,103.88,
4641,84.43,
388,102.63,
4921,95.11,
4085,99.46,
3102,104.96,
2240,106.15,
1519,107.61,
1110,107.42,
1076,107.2,
1754,107.89,
3652,103.82,
5620,92.86,
5223,87.63,
729,101.51,
4828,86.91,
594,101.97,
4736,48.74,
563,95.78,
4537,61.55,
483,101.15,
4522,89.91,
394,105.84,
4887,85.8,
355,104,
4734,93.34,
353,105.24,
4915,91,
369,105.05,
4952,87.6,
397,105.78,
4891,90.98,
393,105.05,
5005,84.88,
377,103.58,
4748,82.47,
375,104.04,
4353,86.19,
352,103.87,
4015,88.5,
269,104.02,
4049,98.36,
3321,102.4,
2261,106.94,
1512,108.97,
1039,110.92,
723,111.01,
696,110.52,
861,111.62,
2086,110.69,
3220,106.85,
3561,103.16,
372,105.82,
3937,101.3,
273,105.49,
4449,100.02,
265,105.85,
4986,95.47,
273,105.52,
4806,96.65,
241,106.66,
4632,97.94,
227,106.52,
4865,95.06,
264,107.94,
4849,94.4,
290,106.58,
4700,94.86,
326,107.65,
4986,90.76,
402,104.22,
4726,88.44,
324,104.39,
4538,86.4,
351,103.91,
4573,88.04,
364,103.56,
4628,87.16,
356,104.98,
5363,95.12,
4730,99.63,
2797,107.33,
1643,109.78,
1129,108.56,
780,106.21,
951,107.24,
2077,109.01,
5014,98.97,
6630,87.03,
5497,88.36,
608,102.22,
5013,92.83,
403,105.57,
5122,89.99,
321,104.32,
4975,88.77,
334,105.7,
4905,87.49,
251,105.64,
4491,92.81,
223,106.37,
4792,92.17,
251,106.44,
4906,90.82,
227,104,
4535,93.42,
234,107.26,
4503,91.71,
257,106.28,
4373,89.97,
194,106.8,
4312,80.45,
237,102.66,
4020,80.07,
244,104.23,
3443,91.34,
201,104.47,
3236,98.65,
2472,101.4,
1883,103.23,
1334,102.52,
938,100.79,
801,100.86,
738,100.3,
1188,101.19,
3024,102.18,
5391,92.51,
5416,85.98,
515,104.05,
5168,93.43,
305,106.72,
4993,89.49,
295,102.08,
5030,84.64,
276,104,
4670,89.13,
258,104.88,
4597,90.62,
255,103.81,
4746,90.02,
240,102.79,
4521,92.76,
229,106.97,
4392,93.44,
219,106.74,
4442,93.29,
230,106.62,
4280,88.28,
215,106.09,
4296,79.51,
235,104.74,
3998,74.14,
246,103.93,
3248,91.79,
207,105.18,
3173,93,
2426,99.47,
1843,100.18,
1320,96.84,
931,96.01,
771,98.83,
739,97.74,
1039,98.44,
2661,99.02,
5073,91.45,
5250,84.98,
475,102.8,
5036,92.5,
298,106.13,
5015,90.17,
260,103.68,
4845,89.61,
271,105.51,
4947,86.76,
238,104.94,
4783,90.71,
199,105.23,
4467,93.22,
228,108.7,
4536,91.79,
223,105.21,
4281,88.89,
211,104.67,
4084,88.59,
224,103.85,
4136,83.6,
237,104.47,
4254,75.91,
