T3 교통량,T5 교통량,T4
4919,5236,317
221,343,122
4855,4986,131
231,330,99
4984,5044,60
233,364,131
4886,5035,149
273,392,119
4576,4749,173
217,346,129
4226,4309,83
255,398,143
4172,4313,141
257,395,138
4239,4285,46
209,344,135
4969,5393,424
3797,4477,680
2018,2491,473
1294,1555,261
809,1041,232
590,807,217
745,946,201
1578,2098,520
4330,5301,971
6127,7042,915
5158,5609,451
505,978,473
5134,5487,353
267,499,232
4704,5361,657
243,393,150
4374,5163,789
232,377,145
4662,5403,741
194,362,168
4916,5675,759
182,326,144
4644,6801,2157
202,336,134
4740,6940,2200
186,320,134
4570,6502,1932
255,388,133
4746,6499,1753
280,349,69
4366,6144,1778
495,395,-100
4230,5225,995
493,376,-117
3682,4238,556
495,431,-64
3610,4158,548
455,319,-136
3097,3858,761
2230,2943,713
1433,1782,349
1047,1330,283
740,1080,340
661,724,63
758,775,17
1329,822,-507
3137,2870,-267
4989,5599,610
5237,7255,2018
399,760,361
5239,5631,392
285,347,62
4331,6614,2283
278,418,140
4757,6747,1990
257,421,164
5308,4932,-376
367,365,-2
4270,6655,2385
243,402,159
4499,6469,1970
206,351,145
4547,6485,1938
188,328,140
4460,6419,1959
221,375,154
4263,6098,1835
213,351,138
4012,6101,2089
207,414,207
3222,4219,997
182,371,189
3463,3904,441
264,387,123
3366,3688,322
206,316,110
2972,3615,643
1370,2035,665
1144,1637,493
685,1281,596
412,877,465
440,817,377
559,768,209
672,1025,353
1487,2598,1111
4659,4713,54
3808,5791,1983
327,703,376
3761,5654,1893
244,404,160
3396,5740,2344
173,409,236
4159,5847,1688
255,374,119
4606,6766,2160
242,399,157
4544,6582,2038
228,382,154
4486,6210,1724
190,328,138
4620,6274,1654
257,361,104
4577,6219,1642
197,344,147
4519,6234,1715
200,366,166
4314,6356,2042
195,364,169
4031,5167,1136
187,382,195
3706,4239,533
229,385,156
3269,4041,772
193,326,133
3090,3905,815
2393,3110,717
1593,2020,427
792,1338,546
463,1007,544
459,838,379
338,669,331
674,1070,396
1674,2478,804
4054,5379,1325
5083,7333,2250
397,746,349
5248,7622,2374
221,438,217
4989,7455,2466
208,371,163
3887,6174,2287
207,352,145
4138,6398,2260
257,453,196
4340,6377,2037
201,367,166
4106,6155,2049
179,312,133
4164,6026,1862
201,330,129
4268,6141,1873
201,331,130
4018,5882,1864
193,334,141
3954,5724,1770
196,377,181
4004,5033,1029
258,411,153
2804,3491,687
197,354,157
2382,3019,637
155,273,118
2532,3153,621
1752,2334,582
1110,1535,425
927,1338,411
624,936,312
528,767,239
512,775,263
745,1116,371
1944,2621,677
4316,5511,1195
4884,6998,2114
404,732,328
4647,6600,1953
224,414,190
4419,7026,2607
207,374,167
4564,6914,2350
197,331,134
4782,7043,2261
227,360,133
4679,6663,1984
242,315,73
4697,6955,2258
202,366,164
4631,6912,2281
197,346,149
4930,7131,2201
232,389,157
4852,7078,2226
226,409,183
4889,7330,2441
249,462,213
4505,6353,1848
265,442,177
4144,4991,847
302,502,200
4052,5015,963
240,409,169
3793,4538,745
2928,3304,376
1858,2198,340
1241,1702,461
829,1237,408
634,943,309
640,929,289
814,1269,455
1812,2612,800
3343,4795,1452
4015,5639,1624
322,525,203
4425,6504,2079
248,403,155
4454,6769,2315
215,386,171
4761,7164,2403
251,433,182
4437,6794,2357
231,392,161
4485,6601,2116
214,381,167
4752,6701,1949
221,367,146
