교통량,평균속도,0010CZS420
710,92.23,
703,92.43,
1039,92.25,
2342,94.71,
4967,87.78,
5059,78.47,
796,97.92,
5118,82.13,
396,102.7,
5520,81.79,
309,102.24,
5655,78.65,
349,101.35,
5286,80.22,
343,103.14,
5294,80.45,
325,101.58,
5013,83.1,
347,103.73,
5252,79.23,
355,101.94,
5097,82.45,
350,102.91,
4885,83.08,
352,101.92,
4855,81.06,
439,101.14,
4140,82.24,
407,100.96,
3291,87.13,
382,101.98,
3109,89.5,
322,103.4,
3210,95.62,
3014,88.53,
2012,90.77,
1329,94.19,
954,93.61,
721,92.63,
712,91.9,
918,94.16,
1917,96.41,
4074,92.51,
4505,80.71,
658,99.23,
4390,86.38,
401,102.07,
4799,83.18,
334,102.45,
5440,80.27,
359,102.88,
5609,78.6,
350,103.17,
5604,79.62,
352,99.46,
5549,79.73,
376,102.42,
5615,77.16,
450,100.8,
5246,54.67,
510,95.94,
5218,74.75,
459,102.17,
4816,82.28,
459,102.29,
4377,78.97,
589,98.41,
3971,82.22,
577,100.36,
3337,80.39,
286,103.55,
4107,92.59,
3357,95.24,
2145,100.16,
1460,94.07,
1064,90.45,
726,90.09,
700,91.21,
810,92.02,
1730,93.1,
2643,89.23,
2898,83.01,
334,100.74,
3293,80.09,
259,100.27,
3895,78.94,
252,100.94,
4468,77.17,
245,101.81,
4473,79.99,
208,102.31,
4276,80.03,
215,102.61,
4244,80.08,
227,102.83,
4380,77.14,
266,100.98,
4277,72.5,
338,98.05,
4729,51.9,
403,90.71,
4188,68.77,
302,97.63,
3672,74.67,
329,96.78,
3580,74.63,
335,97.31,
3447,73.9,
247,101.04,
4230,78.25,
3788,77.35,
2988,72.91,
1872,77.92,
1262,81.07,
922,81.76,
919,87.85,
1823,87.06,
4391,83.76,
6074,76.78,
5228,39.08,
702,85.79,
5334,40.25,
464,92.1,
5247,74.47,
298,100.01,
5412,66.06,
293,96.71,
4801,51.57,
262,97.04,
4170,80.23,
218,103.96,
4752,79.74,
193,104.92,
4653,81.1,
223,105.39,
4530,79.62,
214,102.96,
4502,80.39,
224,104.77,
4556,77.99,
238,101.36,
3410,82.11,
245,104.93,
2736,85.46,
250,105.23,
2723,86.05,
211,104.97,
2542,90.55,
2203,89.8,
1607,69.98,
1447,80.5,
1093,77.92,
869,76.34,
975,79.24,
1426,82.37,
3078,78.41,
5125,80.89,
5526,77.64,
519,101.03,
5407,78.83,
364,101.09,
5444,68.05,
292,99.41,
4348,56.31,
249,99.07,
4257,39.03,
282,93.44,
4756,50.22,
218,100.27,
4274,80.8,
223,103.41,
4325,80.43,
224,103.63,
4237,80.82,
208,104.95,
4218,81.8,
229,104.74,
4465,79.08,
231,104.22,
3480,82.1,
248,101.35,
2792,84.96,
248,104.86,
2751,84.74,
213,103.34,
2737,90.23,
2237,89.83,
1638,90.39,
1308,89.15,
1045,86.64,
834,87.28,
800,87.58,
1216,89.4,
2693,90.44,
4806,84.1,
5496,78.51,
