교통량,평균속도
3067,77.89
3180,76.25
3616,62.48
3348,48.14
3733,39.94
3229,22.6
3194,23.83
3454,56.29
3025,82.84
2949,86.01
1941,96.59
1007,103.79
601,104.83
430,107.75
267,102.58
327,100.27
903,98.28
2043,90.73
2307,89.82
2480,88.27
2981,83.83
3438,77.76
3595,74.97
3645,68.68
3537,73.76
3549,67.54
3556,60.78
3465,50.8
3675,50.28
3190,65.47
2791,81.48
2372,86.82
2338,89.11
2219,92.81
1205,102
665,109.29
394,109.19
218,106.26
150,107.25
182,102.26
468,100.43
949,100.68
981,100.95
1181,98.95
1713,95.36
2426,90.3
2929,84.58
2918,84.39
3111,81.44
3314,76
3355,74.55
3608,67.83
3435,49.76
2748,84.08
2325,88.03
2419,88.87
2182,91.56
1816,95.5
1003,103.33
497,105
283,103.17
192,105.45
163,98.58
321,98.62
1309,95.6
3456,80.13
4031,38.23
3479,33.57
3921,64.45
3446,71.9
3011,79.55
3405,74.94
2891,80.21
2814,81.06
3330,73.17
3642,68.7
3985,48.01
3602,31.49
3435,38.79
3047,81.19
2994,84.25
2697,89.58
1372,101.85
736,106.72
413,106.41
275,102.87
255,100.37
305,97.27
1145,95.89
2916,84.79
4082,55.14
3701,62.09
3768,73.04
3616,70.84
3645,70.34
3013,78.43
2929,79.18
3064,75.85
3203,76.39
3692,64.95
3895,40.12
3419,25.31
3411,31.41
2967,80.32
2867,84.63
2898,88.63
1503,101.63
824,105.75
451,106.72
293,104.63
223,101.84
324,99.37
1072,96.27
2970,84.56
4151,71.29
3963,72.26
3933,62.84
3550,71.41
3454,73.73
3423,74.16
3056,78.62
2917,78.08
3230,73.67
3493,71.05
3854,40.58
3284,23.98
3370,27.09
3022,73.47
2964,83.26
2870,88.93
1604,101.79
863,107.66
487,106.16
255,108.04
230,100.23
321,100.67
1182,96.47
2877,86.89
4153,63.89
3864,69.71
3561,56.4
3298,68.99
3824,55.68
3032,78.86
2978,78.45
2916,79.19
3390,68.4
3771,55.87
3892,40.99
3454,26.68
3289,40.39
3059,80.56
2974,85.01
3016,87.26
1763,101.35
911,107.34
489,106.7
301,106.25
231,102.88
344,99.64
1163,98.31
2817,87.94
4140,71.73
3804,74.1
3694,73.26
3434,74.88
3687,72.47
3277,77.37
3244,75.6
3507,68.81
3637,51.57
3802,42.33
3543,31.3
3198,22.39
3235,24.73
3341,48.84
2866,83.61
2880,87.68
1940,97.84
947,104.71
573,105.91
368,106.31
280,104.64
356,101.08
1008,98.53
1978,93.33
2217,90.7
2543,87.93
2992,83.84
3421,77.46
3891,62.62
3509,73.85
3583,53.73
3134,64.45
3625,44.15
3510,69.61
3702,39.95
3445,69.38
2885,78.92
2495,86.06
2497,88.01
2381,91.13
1279,102.59
802,107.54
392,105.89
258,109.4
188,105.24
182,103.9
552,99.99
976,99.48
983,99.68
1150,100.27
1778,94.98
2614,87.53
3089,83.47
3021,83.35
3247,80.7
3473,74.87
3510,71.8
3637,50.38
3092,63.61
2988,80.85
2523,86.92
2588,86.89
2439,89.51
1901,95.34
1025,104.02
530,108.09
299,103.86
210,100.32
197,102.86
333,100.1
1310,95.89
3669,76.45
3847,34.68
3520,34.41
3693,74.36
3182,77.47
3592,72.21
3120,78.69
2902,81.31
2848,78.74
3161,77.17
3580,70.42
3533,53.2
3750,38.79
3389,27.55
2966,80.09
2742,86.76
2609,88.03
1341,97.36
788,96.04
430,98.45
277,97.95
220,98.69
336,97.49
1074,94.43
2901,84.94
4091,71.39
3955,73.1
3859,70.1
3463,75.94
3781,61.21
3105,78.37
3274,75.53
3050,77.45
3271,74.82
3667,65.69
3896,41.94
3456,28.22
3516,34.31
3355,77.23
2975,84.29
2941,87.14
1548,102.35
799,105.04
450,107.03
271,107.21
255,101.49
333,99.66
1160,97.92
3070,86.73
4179,71.37
3869,71.04
3880,67.08
3713,70.34
3730,50.59
3326,75.54
2967,79.2
2992,76.95
3175,59.5
3614,59.93
3829,38.67
3337,24.93
3504,29.65
3047,79.38
3077,82.17
2986,85.28
1659,101.2
859,105.85
463,106.12
291,107.05
247,102.05
342,99.26
1207,97.04
2965,87.99
4133,59.54
3736,42.07
3750,71.74
3700,66.52
3223,54.84
2825,56.26
3069,78.31
3163,76.71
3051,76.2
3713,59.7
3852,39.92
3308,24.33
3443,42.65
3266,78.42
2999,84.17
2970,87.99
1684,101.6
886,106.3
509,104.61
322,104.53
271,100.29
351,98.47
1247,96.85
2962,87.17
4118,68.77
3858,72.06
3593,75.57
3698,66.46
3680,61.12
3479,71.98
3333,74.02
3451,73.99
3716,47.66
3720,57.28
3479,30.19
3182,21.87
3198,23.91
3288,38.57
3030,82.12
3070,84.51
1909,97.35
1029,104.59
670,107.41
468,107.11
308,104.64
355,99.65
1061,98.41
1879,92.55
2018,90.78
2502,85.98
3003,77.63
3359,71.88
3784,54.09
3649,47.88
3576,54.46
3420,61.01
3585,44.55
3563,49.59
2807,41.26
3574,55.09
2572,77.88
2465,82.05
2343,85.44
2162,89.94
1175,99.6
679,104.9
382,107.32
250,108.95
193,107.37
194,104.61
561,101.37
965,101.19
1055,99.19
1104,99.75
1802,94.3
2608,86.92
2988,83.2
2949,85
3367,75.58
3484,74.23
3574,71.16
3613,44.08
3396,78.26
3093,80.67
2483,86.79
2478,87.13
2308,91.44
1896,96.11
937,104.95
529,108.61
276,103.03
228,101.52
185,103.72
322,99.33
1422,95.29
3741,75.93
3886,36.59
3483,47.44
3672,75.15
3210,77.08
3648,67.47
3279,77.2
3700,62.57
3248,74.87
3334,75.13
3142,43.89
3786,57.25
3485,28.57
3405,27.7
3069,79.42
2860,86.09
2723,90.2
1390,102.49
731,106.43
446,106.58
281,106.3
233,101.67
330,99.22
1197,98.11
3042,86.48
4176,67.68
3806,66.63
3933,65.67
3566,74.47
3483,76.25
3321,77.05
2801,81.4
2842,79.76
3120,75.23
3449,68.73
3790,44.71
3247,23.07
3505,31.14
3305,78.76
3004,84.28
2910,88.7
1567,101.41
803,107.5
525,106.15
293,106.22
251,99.67
317,99.23
1224,97.27
3006,87.57
4104,70.49
3896,69.28
3769,73.66
2761,44.32
3304,60.6
3426,74.35
2994,78.44
3053,77.91
1554,70.6
1913,44.12
3840,42.2
3358,26.09
3429,30.37
3059,78.91
3067,82.37
3060,86.37
1598,100.41
807,107.01
530,107.98
321,106.09
240,103.21
353,98.98
1234,96.65
3139,85.77
4108,40.96
3601,47.18
3990,60.47
3622,52.95
3520,72.99
3248,77.29
3056,77.71
3120,76.91
2878,60.86
3184,49.77
3731,44.29
3305,23.8
3576,34.22
3193,73.68
3038,82.47
2989,86.81
1666,100.08
848,106.91
524,106.82
313,105.41
277,102.21
349,99.32
1283,94.12
3039,85.31
3975,54.04
3738,66.94
3786,67.5
3537,75.31
3800,64.59
3378,75.18
3320,74.61
3445,69.51
2894,27.18
3737,49.84
3178,23.08
3112,21.83
3176,23.59
3198,57.17
3076,81.78
3042,84.8
1907,97.65
1020,105.75
632,106.68
435,108.08
302,101.99
367,101.04
1081,97.52
2000,94.29
2040,91.64
2488,88.19
2987,83.65
3493,70.68
3780,43.75
3622,57.03
3489,61.85
3548,63.29
3597,56.91
3638,53.25
3466,34.53
3347,52.28
2798,72.25
2387,77.91
2239,80.99
2175,82.38
1181,91.62
649,94.77
363,98.21
223,97.22
