교통량,평균속도,0010CZS440
5398,79.23,
275,99.84,
5712,71.43,
347,90.53,
5452,73.23,
337,93.03,
5180,77.64,
321,95.98,
5086,76.46,
332,95.88,
5257,76.94,
347,97.39,
5181,77.09,
664,88.83,
4873,80.35,
382,97.17,
4768,78.62,
375,99.4,
4747,78.61,
420,99.93,
4174,82.27,
437,100.34,
3629,87.8,
330,103.91,
3475,95.71,
2568,99.29,
1682,100.69,
1270,96.94,
943,94.96,
706,93.18,
677,94.07,
886,94.68,
2133,97.28,
4376,91.21,
4923,76.11,
742,92.63,
4630,83.34,
360,99.62,
4545,82.92,
293,99.67,
5468,75.55,
365,89.97,
5573,54.37,
341,91.64,
5542,75.44,
332,95.79,
5519,58.33,
355,94.59,
5494,47.33,
436,93.35,
5364,55.77,
429,94.85,
5311,76.55,
470,97.06,
5184,74.68,
397,98.05,
4954,76.15,
501,100.2,
4659,77.97,
559,97.37,
4192,84.45,
442,102.32,
4215,92.52,
2970,97.56,
1845,101.76,
1852,102.69,
1296,103.65,
954,101.45,
816,100.11,
991,100.18,
2148,100.86,
3215,95.75,
3316,86.61,
392,100.06,
3545,82.41,
337,98.03,
4274,80.53,
382,97.27,
5030,78.45,
391,97.6,
5306,78.06,
339,98.06,
5225,79.38,
345,98.89,
4955,79.65,
351,97.6,
4977,72.99,
421,96.97,
4784,57.4,
480,89.1,
5001,55.25,
535,90.76,
4779,74.57,
451,95.35,
4792,74.95,
481,99.07,
4807,78.22,
497,100.65,
4637,80.72,
381,104.36,
5401,88.04,
4420,93.53,
2847,99,
1703,100.22,
1103,103.36,
811,102.43,
975,103.59,
2231,102.03,
5655,87.74,
6757,52.96,
5830,47.08,
895,81.03,
5847,45.23,
611,89.03,
5866,41.36,
459,81.71,
5705,43.85,
502,85.49,
5437,61.47,
405,92.06,
4664,38.6,
400,81.86,
5047,80.01,
311,95.82,
5302,77.37,
352,92.73,
5137,78.69,
514,91.07,
5234,79.44,
434,93.73,
5054,78.62,
360,98.77,
4799,80.62,
421,98.86,
4413,82.53,
449,100.81,
4025,85.72,
376,100.99,
3570,94.8,
2884,93.07,
2121,90.84,
1669,85.58,
1177,82.36,
978,85.54,
987,91.6,
1499,92.49,
3901,93.02,
6395,82.93,
5935,48.36,
772,86.6,
5922,42.75,
573,90.27,
5747,40.1,
461,83.92,
5183,40.61,
434,88.14,
4870,31.12,
441,83.65,
5003,77.85,
336,92.01,
5223,79.84,
337,91.88,
5054,80.34,
372,95.11,
4940,81.54,
443,94.93,
5028,80.96,
510,93.79,
4936,78.98,
332,98.7,
4951,80.5,
428,101.85,
4270,83.56,
469,100.68,
4077,84.66,
364,98.84,
3753,94.79,
2947,97.35,
2053,100.3,
1612,99.89,
1183,98.63,
884,97.1,
864,97.17,
1338,97.49,
3627,95.78,
6432,80.79,
6094,56.24,
811,86.69,
6155,43.83,
523,91.38,
5964,49.1,
488,84.29,
5621,71.2,
449,88.69,
5636,73.29,
415,91.73,
5237,76.63,
368,91.92,
5299,79.43,
321,96.58,
5172,80.31,
315,94.67,
5244,75.76,
604,88.47,
5119,56.67,
560,83.08,
5083,74.75,
357,98.4,
4862,79.92,
426,100.67,
4392,83.78,
472,101.9,
4169,84.08,
401,99.5,
3753,93.09,
2965,97.36,
2316,98.81,
1654,99.77,
1152,98.87,
957,97.61,
911,97.61,
1350,97.83,
3564,95.82,
6381,77.7,
5899,43.85,
829,81.92,
5937,43.08,
581,88.24,
5882,41.41,
467,85.18,
5683,45.94,
505,85.08,
5624,40.31,
444,88.64,
5402,42.32,
445,87.15,
5457,61.64,
384,83.21,
5035,80.42,
348,96.65,
5336,76.87,
364,95.96,
5319,78.69,
382,96.78,
5095,78.02,
389,97.34,
4841,79.94,
464,99.33,
4387,81.98,
486,99.04,
4147,85.06,
375,100.27,
3976,93.48,
3136,96.52,
2348,100.32,
1882,101.12,
1322,101.25,
950,99.84,
905,97.43,
1449,98.48,
3692,96.09,
6389,77.97,
5818,43.92,
807,79.21,
5668,66.43,
530,94.65,
5593,40.97,
465,93.21,
5595,41.62,
455,91.9,
5481,40.12,
433,91.03,
5381,72.85,
418,97.44,
5409,74.02,
373,97.22,
5354,76.04,
383,96.43,
5487,67.23,
438,93.48,
5473,76.32,
479,97.21,
5200,76.28,
429,96.67,
5325,74.45,
517,97.68,
4930,77.95,
553,98.55,
4771,78.92,
504,97.21,
4919,89.21,
4061,94.88,
3258,97.51,
2279,101.47,
1672,102.67,
1284,102.56,
1244,100.4,
1818,100.91,
4198,95.57,
6197,81.41,
5545,46.94,
858,84.01,
5004,82.53,
594,97.68,
5311,79.54,
556,95.79,
5308,79.99,
498,95.95,
5520,76.76,
469,95.64,
5494,75.01,
476,90.88,
5513,78.36,
465,93.45,
5616,62.07,
481,94.8,
5347,40.49,
506,91.52,
5296,61.74,
500,94.84,
5423,61.75,
520,95.26,
5106,68.56,
493,98.98,
4825,79.53,
460,96.85,
4378,83.92,
365,102.17,
4438,92.24,
3516,98.58,
2469,102.07,
1747,105.12,
1148,107.19,
